RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	UTM	JOG	FC	DSG	PC	CC1	ADM1	ADM2	DIM	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME	FULL_NAME	FULL_NAME_ND	MODIFY_DATE
1	-559843	-791985	75.45	 -94.1666667	752700	-941000	VD67	NS15-01	H	BAY		CA	14				N				ABANDONBAY	Abandon Bay	Abandon Bay	1993-12-14
1	-559844	-791986	50.7333333	-108.75	504400	-1084500	XB52	NM12-06	P	PPL		CA	11				N				ABBEY	Abbey	Abbey	1993-12-14
1	-559845	-791988	49.05	-122.3	490300	-1221800	EV53	NM10-08	P	PPL		CA	02				N				ABBOTSFORD	Abbotsford	Abbotsford	1993-12-14
1	-573004	-791987	45.4333333	 -72.8833333	452600	-725300	XR63	NL18-09	P	PPL		CA	10				V				ABBOTSFORD	Abbotsford	Abbotsford	1993-12-14
1	-559845	-791989	49.05	-122.3	490300	-1221800	EV53	NM10-08	P	PPL		CA	02				V				ABBOTTSFORD	Abbottsford	Abbottsford	1993-12-14
1	-559846	-791990	54.2333333	-113.0166667	541400	-1130100	UF61	NN12-04	P	PPL		CA	01				N				ABEE	Abee	Abee	1993-12-14
1	-559847	-791991	49.25	 -68.15	491500	-680900	EQ65	NM19-08	H	LK		CA	10				N				ABER LAC	Lac Aber	Lac Aber	1993-12-14
1	-559848	-791992	52.3166667	-106.2833333	521900	-1061700	DT19	NN13-10	P	PPL		CA	11				N				ABERDEEN	Aberdeen	Aberdeen	1993-12-14
1	-559849	-791993	68.5166667	 -93.8666667	683100	-935200	VS60	NR15-10	T	ISL		CA	14				N				ABERDEENISLAND	Aberdeen Island	Aberdeen Island	1993-12-14
1	-559850	-791994	64.4666667	 -99.0	642800	-990000	MS94	NQ13-15	H	LK		CA	14				N				ABERDEENLAKE	Aberdeen Lake	Aberdeen Lake	1993-12-14
1	429038	548727	54.1075	-111.4836111	540627	-1112901	VE69	NN12-05	S	RSTP 		CA	01				N				ABILENE	Abilene	Abilene	1999-04-05
1	-559851	-791995	42.8333333	 -79.1	425000	-790600	PH54	NK17-06	T	PT		CA	08				V				ABINEAU	Abineau	Abineau	1993-12-14
1	-559851	-791996	42.8333333	 -79.1	425000	-790600	PH54	NK17-06	T	PT		CA	08				N				ABINO POINT	Point Abino	Point Abino	1993-12-14
1	-559852	-791997	60.45	-107.25	602700	-1071500	CH70	NP13-13	H	LK		CA	13				N				ABITAULAKE	Abitau Lake	Abitau Lake	1993-12-14
1	-559853	-791998	59.8833333	-109.05	595300	-1090300	XM04	NO12-03	H	STM		CA	13				N		Abitau		ABITAURIVER	Abitau River	Abitau River	1993-12-14
1	-559858	-792000	51.0666667	 -80.9166667	510400	-805500	NS05	NM17-02	H	STM		CA	08				V				ABITIBBI	Abitibbi	Abitibbi	1993-12-14
1	-559854	-791999	48.6666667	 -79.75	484000	-794500	NP99	NM17-12	H	LK		CA	00				V				ABITIBBI	Abitibbi	Abitibbi	1998-03-24
1	-576358	-1129159	48.0	 -76.0	480000	-760000	VU21	NM18-11	A	ADM2 		CA	00				N				ABITIBI	Abitibi	Abitibi	1993-12-14
1	-576358	-792001	48.0	 -76.0	480000	-760000	VU21	NM18-11	A	ADM2 		CA	00				V				ABITIBI COMTED	Comté dʼ Abitibi	Comte d' Abitibi	1993-12-14
1	-559854	-792004	48.6666667	 -79.75	484000	-794500	NP99	NM17-12	H	LK		CA	00				N	FR		Lac	ABITIBI LAC	Lac Abitibi	Lac Abitibi	1998-03-24
